,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
PR + CEOP,0.6915,0.7358,0.176,0.3421,0.6304,0.2756,0.1183,0.6916,0.6914,0.3152,0.2971,0.3007,0.3511,795.0,485.0,353.0,218.0,343.0,85.0,145.0,46.0,452.0,400.0,208.0,172.0,0.7822,0.704,0.7884,0.5357,0.8838
PR + ROC,0.6829,0.7087,0.2229,0.324,0.3957,0.2917,0.3008,0.6924,0.664,0.3083,0.2507,0.3069,0.457,714.0,550.0,288.0,299.0,272.0,139.0,91.0,117.0,442.0,411.0,197.0,182.0,0.7234,0.6999,0.5864,0.5187,0.8576
EGR,0.678,0.7212,0.1913,0.398,0.487,0.2388,0.2391,0.6826,0.6688,0.3375,0.2745,0.2893,0.4408,771.0,484.0,354.0,242.0,296.0,118.0,112.0,93.0,475.0,366.0,242.0,149.0,0.7428,0.7084,0.6591,0.582,0.8534
EGR + EOP,0.6569,0.7029,0.2053,0.4342,0.4739,0.2772,0.2288,0.6453,0.6801,0.3692,0.2665,0.3346,0.4238,751.0,465.0,373.0,262.0,300.0,121.0,109.0,89.0,451.0,344.0,264.0,173.0,0.7519,0.6736,0.6607,0.5804,0.7987
EGR + CEOP,0.6721,0.7301,0.1636,0.4836,0.5261,0.1811,0.2031,0.6696,0.6769,0.3652,0.2807,0.2646,0.4202,821.0,423.0,415.0,192.0,310.0,109.0,121.0,79.0,511.0,314.0,294.0,113.0,0.7561,0.7152,0.6963,0.6534,0.8556
EGR + ROC,0.6596,0.6674,0.2748,0.2714,0.3652,0.3734,0.3805,0.6769,0.6252,0.2968,0.2585,0.3447,0.5034,632.0,589.0,249.0,381.0,241.0,146.0,84.0,148.0,391.0,443.0,165.0,233.0,0.6751,0.6627,0.525,0.4513,0.8739
GSR,0.6953,0.7377,0.1766,0.347,0.5783,0.2596,0.1491,0.6972,0.6914,0.3135,0.2866,0.2898,0.3742,793.0,494.0,344.0,220.0,331.0,97.0,133.0,58.0,462.0,397.0,211.0,162.0,0.7761,0.7124,0.7496,0.5463,0.8903
GSR + EOP,0.6532,0.7209,0.1607,0.5345,0.5783,0.2019,0.1491,0.6339,0.6914,0.3949,0.2866,0.3081,0.3742,829.0,380.0,458.0,184.0,331.0,97.0,133.0,58.0,498.0,283.0,325.0,126.0,0.7761,0.6883,0.7496,0.668,0.8176
GSR + CEOP,0.6948,0.7373,0.1767,0.347,0.5826,0.2596,0.1491,0.6972,0.6898,0.3135,0.2882,0.2898,0.3766,793.0,493.0,345.0,220.0,331.0,96.0,134.0,58.0,462.0,397.0,211.0,162.0,0.7752,0.7124,0.7512,0.5463,0.89
GSR + ROC,0.6834,0.713,0.2149,0.3257,0.4478,0.2837,0.2776,0.6956,0.6591,0.307,0.2682,0.3015,0.4596,728.0,537.0,301.0,285.0,281.0,127.0,103.0,108.0,447.0,410.0,198.0,177.0,0.727,0.7045,0.6204,0.5235,0.8767
OP,0.6591,0.6849,0.2233,0.3685,0.4262,0.2948,0.3053,0.6667,0.6474,0.3642,0.2826,0.2987,0.4531,587.0,457.0,289.0,251.0,264.0,140.0,104.0,116.0,323.0,317.0,185.0,135.0,0.7059,0.6687,0.5897,0.5292,0.9975
OP + EOP,0.6319,0.6663,0.2301,0.4442,0.4262,0.3057,0.3053,0.6219,0.6474,0.4122,0.2826,0.3341,0.4531,582.0,419.0,327.0,256.0,264.0,140.0,104.0,116.0,318.0,279.0,223.0,140.0,0.7059,0.6366,0.5897,0.5635,0.8564
OP + CEOP,0.6559,0.6862,0.2176,0.3685,0.4836,0.2948,0.2816,0.6667,0.6394,0.3642,0.3018,0.2987,0.4592,596.0,443.0,303.0,242.0,273.0,126.0,118.0,107.0,323.0,317.0,185.0,135.0,0.7082,0.6687,0.6266,0.5292,0.9759
OP + ROC,0.6534,0.675,0.2358,0.3685,0.3934,0.2948,0.35,0.6667,0.633,0.3642,0.2799,0.2987,0.4733,570.0,465.0,281.0,268.0,247.0,148.0,96.0,133.0,323.0,317.0,185.0,135.0,0.6833,0.6687,0.5497,0.5292,0.9972
OP + GFC,0.6282,0.7167,0.1194,0.6414,0.7131,0.1419,0.0737,0.5969,0.6763,0.4503,0.3308,0.2653,0.2857,745.0,250.0,496.0,93.0,352.0,70.0,174.0,28.0,393.0,180.0,322.0,65.0,0.777,0.6701,0.8429,0.7448,1.0
OP + GFC + EOP,0.6054,0.71,0.1067,0.761,0.6967,0.083,0.0921,0.5625,0.6715,0.4763,0.3301,0.2405,0.3211,765.0,194.0,552.0,73.0,345.0,74.0,170.0,35.0,420.0,120.0,382.0,38.0,0.7709,0.6667,0.8253,0.8354,0.9093
OP + GFC + CEOP,0.9836,0.9842,0.0166,0.0,0.0,0.0568,0.0,0.9729,1.0,0.0,0.0,0.0492,0.0,812.0,746.0,0.0,26.0,380.0,244.0,0.0,0.0,432.0,502.0,0.0,26.0,1.0,0.9708,0.609,0.45,0.5785
OP + GFC + ROC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,838.0,746.0,0.0,0.0,380.0,244.0,0.0,0.0,458.0,502.0,0.0,0.0,1.0,1.0,0.609,0.4771,0.5822
OP + PR,0.3403,0.321,0.5254,0.6315,0.5615,0.7052,0.7053,0.3333,0.351,0.7013,0.5502,0.6358,0.7147,247.0,292.0,454.0,591.0,112.0,107.0,137.0,268.0,135.0,185.0,317.0,323.0,0.3561,0.2967,0.399,0.4708,0.9977
OP + PR + EOP,0.6351,0.6742,0.2185,0.4582,0.4426,0.2773,0.2974,0.6281,0.6458,0.41,0.288,0.3183,0.4538,598.0,408.0,338.0,240.0,267.0,136.0,108.0,113.0,331.0,272.0,230.0,127.0,0.7073,0.6497,0.601,0.5844,0.8854
OP + PR + CEOP,0.6591,0.682,0.2288,0.3466,0.4385,0.321,0.2947,0.6656,0.649,0.3588,0.2853,0.3095,0.4498,579.0,465.0,281.0,259.0,268.0,137.0,107.0,112.0,311.0,328.0,174.0,147.0,0.7099,0.6596,0.601,0.5052,0.9615
OP + PR + ROC,0.6597,0.6831,0.2273,0.3785,0.377,0.2882,0.3289,0.6646,0.6522,0.3682,0.2651,0.2973,0.4513,581.0,464.0,282.0,257.0,255.0,152.0,92.0,125.0,326.0,312.0,190.0,132.0,0.7015,0.6694,0.5561,0.5375,0.997
OP + EGR,0.6566,0.6822,0.2257,0.3904,0.3852,0.2686,0.3447,0.6677,0.6394,0.3691,0.2741,0.2867,0.4662,584.0,456.0,290.0,254.0,249.0,150.0,94.0,131.0,335.0,306.0,196.0,123.0,0.6888,0.6775,0.5497,0.5531,0.9888
OP + EGR + EOP,0.637,0.6579,0.2499,0.3904,0.3852,0.3362,0.3447,0.6354,0.6394,0.392,0.2741,0.3348,0.4662,553.0,456.0,290.0,285.0,249.0,150.0,94.0,131.0,304.0,306.0,196.0,154.0,0.6888,0.6347,0.5497,0.5208,0.8833
OP + EGR + CEOP,0.6402,0.6424,0.2784,0.2928,0.3975,0.4389,0.3289,0.6375,0.6442,0.3639,0.2756,0.3615,0.4596,512.0,502.0,244.0,326.0,255.0,147.0,97.0,125.0,257.0,355.0,147.0,201.0,0.6967,0.5963,0.5641,0.4208,0.8793
OP + EGR + ROC,0.6585,0.6853,0.222,0.3884,0.3975,0.2707,0.3289,0.6677,0.6442,0.3686,0.2756,0.2877,0.4596,589.0,454.0,292.0,249.0,255.0,147.0,97.0,125.0,334.0,307.0,195.0,124.0,0.6967,0.6768,0.5641,0.551,0.998
OP + GSR,0.6591,0.6849,0.2233,0.3685,0.4262,0.2948,0.3053,0.6667,0.6474,0.3642,0.2826,0.2987,0.4531,587.0,457.0,289.0,251.0,264.0,140.0,104.0,116.0,323.0,317.0,185.0,135.0,0.7059,0.6687,0.5897,0.5292,0.9975
OP + GSR + EOP,0.6319,0.6663,0.2301,0.4442,0.4262,0.3057,0.3053,0.6219,0.6474,0.4122,0.2826,0.3341,0.4531,582.0,419.0,327.0,256.0,264.0,140.0,104.0,116.0,318.0,279.0,223.0,140.0,0.7059,0.6366,0.5897,0.5635,0.8564
OP + GSR + CEOP,0.6559,0.6862,0.2176,0.3685,0.4836,0.2948,0.2816,0.6667,0.6394,0.3642,0.3018,0.2987,0.4592,596.0,443.0,303.0,242.0,273.0,126.0,118.0,107.0,323.0,317.0,185.0,135.0,0.7082,0.6687,0.6266,0.5292,0.9759
OP + GSR + ROC,0.6534,0.675,0.2358,0.3685,0.3934,0.2948,0.35,0.6667,0.633,0.3642,0.2799,0.2987,0.4733,570.0,465.0,281.0,268.0,247.0,148.0,96.0,133.0,323.0,317.0,185.0,135.0,0.6833,0.6687,0.5497,0.5292,0.9972
DIR,0.6806,0.7092,0.2001,0.2948,0.5615,0.3581,0.15,0.675,0.6891,0.3348,0.2978,0.3166,0.3476,617.0,461.0,285.0,221.0,323.0,107.0,137.0,57.0,294.0,354.0,148.0,164.0,0.769,0.6533,0.7372,0.4604,0.9982
DIR + EOP,0.6301,0.688,0.1858,0.5478,0.4877,0.2336,0.2237,0.6021,0.6731,0.4393,0.2874,0.3204,0.4048,646.0,352.0,394.0,192.0,295.0,125.0,119.0,85.0,351.0,227.0,275.0,107.0,0.7431,0.6476,0.6635,0.6521,0.7931
DIR + CEOP,0.6686,0.7056,0.1937,0.2948,0.6885,0.3581,0.1184,0.675,0.6587,0.3348,0.334,0.3166,0.3719,629.0,430.0,316.0,209.0,335.0,76.0,168.0,45.0,294.0,354.0,148.0,164.0,0.7588,0.6533,0.8061,0.4604,0.9598
DIR + ROC,0.6534,0.675,0.2358,0.3685,0.3934,0.2948,0.35,0.6667,0.633,0.3642,0.2799,0.2987,0.4733,570.0,465.0,281.0,268.0,247.0,148.0,96.0,133.0,323.0,317.0,185.0,135.0,0.6833,0.6687,0.5497,0.5292,0.9972
DIR + GFC,0.5417,0.6962,0.0623,0.9641,0.9672,0.0087,0.0053,0.4917,0.6186,0.516,0.3844,0.1818,0.2,832.0,26.0,720.0,6.0,378.0,8.0,236.0,2.0,454.0,18.0,484.0,4.0,0.7606,0.6504,0.984,0.9771,0.9991
DIR + GFC + EOP,0.5366,0.6939,0.0621,0.9801,0.9672,0.0087,0.0053,0.4833,0.6186,0.5201,0.3844,0.2857,0.2,832.0,18.0,728.0,6.0,378.0,8.0,236.0,2.0,454.0,10.0,492.0,4.0,0.7606,0.6467,0.984,0.9854,0.9936
DIR + GFC + CEOP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,838.0,746.0,0.0,0.0,380.0,244.0,0.0,0.0,458.0,502.0,0.0,0.0,1.0,1.0,0.609,0.4771,0.5822
DIR + GFC + ROC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,838.0,746.0,0.0,0.0,380.0,244.0,0.0,0.0,458.0,502.0,0.0,0.0,1.0,1.0,0.609,0.4771,0.5822
DIR + PR,0.3207,0.2807,0.563,0.7052,0.3852,0.6419,0.8789,0.325,0.3141,0.6834,0.6714,0.6652,0.6901,210.0,298.0,448.0,628.0,46.0,150.0,94.0,334.0,164.0,148.0,354.0,294.0,0.1769,0.3361,0.2244,0.5396,0.9985
DIR + PR + EOP,0.6256,0.6945,0.167,0.5916,0.541,0.1856,0.2079,0.6021,0.6619,0.4433,0.3048,0.2931,0.4136,674.0,317.0,429.0,164.0,301.0,112.0,132.0,79.0,373.0,205.0,297.0,85.0,0.7405,0.6613,0.6939,0.6979,0.7931
DIR + PR + CEOP,0.6711,0.7084,0.1907,0.2948,0.6885,0.3581,0.1079,0.675,0.6651,0.3348,0.3314,0.3166,0.3504,633.0,430.0,316.0,205.0,339.0,76.0,168.0,41.0,294.0,354.0,148.0,164.0,0.7644,0.6533,0.8125,0.4604,0.9734
DIR + PR + ROC,0.6604,0.6809,0.232,0.3645,0.373,0.3013,0.3316,0.6656,0.6522,0.3638,0.2638,0.302,0.4516,574.0,472.0,274.0,264.0,254.0,153.0,91.0,126.0,320.0,319.0,183.0,138.0,0.7007,0.666,0.5529,0.524,0.998
DIR + EGR,0.6521,0.6783,0.2283,0.3964,0.3893,0.2664,0.3553,0.6656,0.6314,0.372,0.2794,0.2871,0.4754,581.0,452.0,294.0,257.0,245.0,149.0,95.0,135.0,336.0,303.0,199.0,122.0,0.6806,0.6767,0.5449,0.5573,0.9917
DIR + EGR + EOP,0.6212,0.6437,0.2597,0.4143,0.3934,0.3472,0.3605,0.6177,0.6266,0.4103,0.2832,0.351,0.4807,542.0,442.0,304.0,296.0,243.0,148.0,96.0,137.0,299.0,294.0,208.0,159.0,0.6759,0.6197,0.5433,0.5281,0.8949
DIR + EGR + CEOP,0.6414,0.6459,0.2739,0.3028,0.3934,0.4083,0.35,0.6469,0.633,0.3593,0.2799,0.3482,0.4733,518.0,498.0,248.0,320.0,247.0,148.0,96.0,133.0,271.0,350.0,152.0,187.0,0.6833,0.6152,0.5497,0.4406,0.8931
DIR + EGR + ROC,0.654,0.6795,0.2281,0.3884,0.3934,0.2707,0.35,0.6677,0.633,0.3686,0.2799,0.2877,0.4733,581.0,455.0,291.0,257.0,247.0,148.0,96.0,133.0,334.0,307.0,195.0,124.0,0.6833,0.6768,0.5497,0.551,0.998
DIR + GSR,0.6168,0.6389,0.2638,0.504,0.2172,0.2074,0.5421,0.6375,0.5849,0.4107,0.2335,0.2762,0.5189,537.0,440.0,306.0,301.0,174.0,191.0,53.0,206.0,363.0,249.0,253.0,95.0,0.5733,0.676,0.3638,0.6417,0.997
DIR + GSR + EOP,0.6067,0.6029,0.3121,0.3606,0.3156,0.417,0.4579,0.6125,0.5978,0.404,0.2721,0.373,0.5103,473.0,488.0,258.0,365.0,206.0,167.0,77.0,174.0,267.0,321.0,181.0,191.0,0.6214,0.5894,0.4535,0.4667,0.7856
DIR + GSR + CEOP,0.601,0.5701,0.3536,0.3187,0.2172,0.4651,0.5421,0.6115,0.5849,0.3951,0.2335,0.3838,0.5189,419.0,533.0,213.0,419.0,174.0,191.0,53.0,206.0,245.0,342.0,160.0,213.0,0.5733,0.5678,0.3638,0.4219,0.8303
DIR + GSR + ROC,0.4792,0.0306,0.7357,0.0,0.0,0.9716,1.0,0.5365,0.391,0.0,0.0,0.4699,0.609,13.0,746.0,0.0,825.0,0.0,244.0,0.0,380.0,13.0,502.0,0.0,445.0,0.0,0.0552,0.0,0.0135,0.9995
